cores,llc_assoc,real_runtime_cycles,real_avg_read_latency_ns,real_avg_read_queue_len,real_row_hit_rate,real_total_read_reqs,real_read_bw_gbs,real_power,synthetic_runtime_cycles,synthetic_avg_read_latency_ns,synthetic_avg_read_queue_len,synthetic_row_hit_rate,synthetic_total_read_reqs,synthetic_read_bw_gbs,synthetic_power
1,8,76016363,23.451271304608433,0.301783,0.9563305765652772,1154492,3.1103824527884876,0.1326317201480358,75040281,21.223994156857454,0.215951,0.9861010193277834,1156056,3.155109038037851,0.14865764731745545
2,8,78755614,27.148163294703267,0.927771,0.9620061835907666,2311067,6.009813111227855,0.22137089150338202,79846971,26.426066627803184,0.8651,0.9677767552569487,2312368,5.931007281415848,0.22443776309773486
3,6,86364792,35.06704575274039,2.304742,0.9516286661560147,3532619,8.377029046743955,0.23888607856535257,86129995,32.61463813769522,2.025065,0.9774635205103513,3484972,8.286570382362148,0.2540751900228728
4,8,91300152,40.994800911522,3.86343,0.951882451701927,4695224,10.532095008998452,0.25691294444214025,90088270,36.9669380213649,3.289065,0.9776468233461048,4636388,10.540021052685328,0.28512020786232717
5,10,96890910,46.464742818026636,5.584877,0.9531683694762527,5858731,12.383701513382421,0.2665182407633599,95228982,42.07370713388575,4.868554,0.969360633926461,5812919,12.501297254232961,0.297128494393225
6,6,107812427,57.37111224018224,8.386298,0.9438410949201853,7155833,13.5931880876775,0.23693436569209383,103176819,50.28245795481449,7.119532,0.9600006302023021,6981929,13.858724014354426,0.27561747333052694
7,7,117439728,65.77400751152304,10.886149,0.9388008519448378,8404687,14.656708823440054,0.22283435931545337,111053683,58.70308667968655,9.622159,0.9550833095268635,8131663,14.996031985719915,0.25545559584533906
8,8,128047608,76.37073885168395,13.760537,0.9260837862766792,9565189,15.298612272397936,0.2003203386850644,119572846,67.7329018376603,12.364122,0.9514026659176678,9285394,15.903683443312874,0.23479997182802284
9,9,139099366,86.0816257859445,16.600193,0.9217483190536688,10825828,15.93917814406142,0.18516353517412293,130636526,78.68393090615625,15.469239,0.9421684836003187,10491557,16.447703711900605,0.20903510440419204
10,10,151237179,96.72336950262847,19.459599,0.9109198405302534,12010740,16.264516227190406,0.1681549796168796,141175731,90.10617580533578,18.662752,0.932220875035873,11607270,16.838367891999795,0.18687251724429174
11,11,163437659,108.33515062338151,22.545084,0.8982973918786881,13185184,16.522053116289435,0.15250870120379517,153601105,101.90060699856238,21.915417,0.9218298051720096,12824691,17.09946498627077,0.16780533001645428
12,6,177601312,119.14077303551173,25.398491,0.885851670527976,14494360,16.714093463453693,0.1402886101676695,165194041,113.3133406517094,24.969687,0.9083688747116929,13919026,17.256170425663235,0.15228719166177823
16,8,231113819,140.44020700205138,31.105358,0.8493564902058779,19297002,17.099912184826994,0.12175937753051888,215815211,136.18693713640954,31.237587,0.8700977787969429,18560203,17.612890012650684,0.12932877692233438
24,6,347878859,145.6492810156445,31.998533,0.7726710329721564,29084153,17.122151519992194,0.11755740502524738,321985091,140.44551039429206,31.999943,0.8010455912092259,27828254,17.700280474166426,0.1260295215167362
32,8,463039622,147.89529362576383,31.999996,0.7136847526187279,38742697,17.135691998297286,0.11586367340165445,429908774,143.3517866724968,31.999996,0.7256136384671102,37092484,17.670122553023308,0.12326405525305856
